Kod_stacji,Nazwa_stacji,Rok,Miesiac,Srednia_miesieczna_predkosc_wiatru,Srednie_miesieczne_cisnienie_na_poziomie_stacji,Srednia_miesieczna_wilgotnosc_wzgledna
349190600,BIELSKO-BIA�A,2023,1,4.0,968.6,80.7
349190600,BIELSKO-BIA�A,2023,2,4.3,975.5,77.7
349190600,BIELSKO-BIA�A,2023,3,4.6,963.8,66.1
349190600,BIELSKO-BIA�A,2023,4,2.8,967.9,72.7
349190600,BIELSKO-BIA�A,2023,5,2.9,972.7,71.2
349190600,BIELSKO-BIA�A,2023,6,2.7,970.0,69.3
349190600,BIELSKO-BIA�A,2023,7,2.9,967.8,67.5
349190600,BIELSKO-BIA�A,2023,8,3.0,968.2,76.5
349190600,BIELSKO-BIA�A,2023,9,2.7,973.2,76.2
349190600,BIELSKO-BIA�A,2023,10,4.0,966.2,72.2
349190600,BIELSKO-BIA�A,2023,11,4.4,960.1,75.0
349190600,BIELSKO-BIA�A,2023,12,4.8,965.7,73.9
349190625,ZAKOPANE,2023,1,1.4,916.0,85.8
349190625,ZAKOPANE,2023,2,2.0,922.0,78.9
349190625,ZAKOPANE,2023,3,2.0,911.9,67.8
349190625,ZAKOPANE,2023,4,1.5,915.5,75.1
349190625,ZAKOPANE,2023,5,1.6,921.2,73.6
349190625,ZAKOPANE,2023,6,1.3,919.5,76.5
349190625,ZAKOPANE,2023,7,1.4,918.2,72.3
349190625,ZAKOPANE,2023,8,1.2,918.6,78.6
349190625,ZAKOPANE,2023,9,1.3,923.2,79.5
349190625,ZAKOPANE,2023,10,1.7,915.7,78.4
349190625,ZAKOPANE,2023,11,2.1,908.3,81.0
349190625,ZAKOPANE,2023,12,2.0,913.4,78.6
349190650,KASPROWY WIERCH,2023,1,7.3,794.0,80.3
349190650,KASPROWY WIERCH,2023,2,7.6,798.0,75.2
349190650,KASPROWY WIERCH,2023,3,7.3,791.0,80.7
349190650,KASPROWY WIERCH,2023,4,5.3,794.4,91.1
349190650,KASPROWY WIERCH,2023,5,4.2,802.1,81.1
