Kod_stacji,Nazwa_stacji,Miesiac,Absolutna_temperatura_maksymalna,Srednia_temperatura_maksymalna,Absolutna_temperatura_minimalna,Srednia_temperatura_minimalna,Srednia_temperatura_miesieczna,Minimalna_temperatura_przy_gruncie,Miesieczna_suma_opadow,Maksymalna_dobowa_suma_opadow,Miesieczna_suma_uslonecznienia,Liczba_dni_z_opadem_deszczu,Srednia_miesieczna_predkosc_wiatru,Srednie_miesieczne_cisnienie_na_poziomie_stacji,Srednia_miesieczna_wilgotnosc_wzgledna
349190600,BIELSKO-BIA�A,1,18.0,5.3,-6.2,1.0,3.1,-9.8,86.8,14.2,61.5,9,4.0,968.6,80.7
349190600,BIELSKO-BIA�A,2,11.1,4.6,-14.1,-1.7,1.4,-18.7,49.9,13.3,0.0,9,4.3,975.5,77.7
349190600,BIELSKO-BIA�A,3,18.6,10.1,-9.1,1.5,5.6,-13.9,38.0,6.8,0.0,11,4.6,963.8,66.1
349190600,BIELSKO-BIA�A,4,20.9,11.7,-6.0,3.1,7.1,-7.3,56.1,10.7,146.2,13,2.8,967.9,72.7
349190600,BIELSKO-BIA�A,5,23.9,17.3,0.6,7.3,12.4,-1.3,109.9,33.1,214.0,11,2.9,972.7,71.2
349190600,BIELSKO-BIA�A,6,29.7,22.7,5.3,11.8,17.3,3.2,48.6,11.8,265.0,10,2.7,970.0,69.3
349190600,BIELSKO-BIA�A,7,30.7,25.0,8.8,14.7,19.8,6.8,135.6,41.6,274.0,15,2.9,967.8,67.5
349190600,BIELSKO-BIA�A,8,31.0,24.3,7.8,15.4,19.5,6.3,112.4,27.8,196.7,18,3.0,968.2,76.5
349190600,BIELSKO-BIA�A,9,28.3,23.2,9.6,13.2,17.8,8.6,101.5,19.4,234.4,11,2.7,973.2,76.2
349190600,BIELSKO-BIA�A,10,23.7,17.4,-0.4,8.5,12.9,-3.7,100.7,20.5,133.2,16,4.0,966.2,72.2
349190600,BIELSKO-BIA�A,11,16.8,8.1,-6.0,3.0,5.4,-15.3,73.7,9.6,0.0,14,4.4,960.1,75.0
349190600,BIELSKO-BIA�A,12,13.3,5.6,-7.1,0.2,3.1,-14.7,74.2,16.0,68.0,10,4.8,965.7,73.9
349190625,ZAKOPANE,1,16.7,2.9,-9.9,-3.3,-0.4,-14.8,110.2,21.9,53.1,3,1.4,916.0,85.8
349190625,ZAKOPANE,2,9.5,2.4,-17.7,-5.8,-2.1,-23.4,57.3,11.5,92.0,3,2.0,922.0,78.9
349190625,ZAKOPANE,3,16.3,7.9,-11.8,-2.2,2.5,-17.6,37.1,11.2,164.3,8,2.0,911.9,67.8
349190625,ZAKOPANE,4,17.5,8.5,-7.5,0.4,4.1,-8.3,80.1,17.9,101.8,13,1.5,915.5,75.1
349190625,ZAKOPANE,5,21.5,15.7,-2.6,4.6,10.0,-5.1,113.7,26.5,211.6,14,1.6,921.2,73.6
349190625,ZAKOPANE,6,26.3,19.4,2.3,9.2,14.2,0.2,147.9,41.6,189.1,13,1.3,919.5,76.5
349190625,ZAKOPANE,7,29.0,22.8,6.5,11.7,16.9,5.3,172.5,39.5,228.4,17,1.4,918.2,72.3
349190625,ZAKOPANE,8,29.1,23.3,6.6,12.7,17.4,5.0,188.3,28.9,204.7,17,1.2,918.6,78.6
349190625,ZAKOPANE,9,25.7,21.0,6.0,9.8,14.9,3.3,129.7,37.1,222.8,11,1.3,923.2,79.5
349190625,ZAKOPANE,10,23.0,15.6,-3.1,4.7,9.6,-7.2,112.4,27.5,139.8,12,1.7,915.7,78.4
349190625,ZAKOPANE,11,14.5,5.6,-12.3,-1.4,2.0,-17.3,113.2,19.9,58.6,10,2.1,908.3,81.0
349190625,ZAKOPANE,12,12.1,3.7,-13.3,-3.3,0.1,-19.9,34.5,7.6,55.1,3,2.0,913.4,78.6
