Kod_stacji,Nazwa_stacji,Rok,Miesiac,Absolutna_temperatura_maksymalna,Status_pomiaru_TMAX,Srednia_temperatura_maksymalna,Status_pomiaru_TMXS,Absolutna_temperatura_minimalna,Status_pomiaru_TMIN,Srednia_temperatura_minimalna,Status_pomiaru_TMNS,Srednia_temperatura_miesieczna,Status_pomiaru_STM,Minimalna_temperatura_przy_gruncie,Status_pomiaru_TMNG,_Miesieczna_suma_opadow,Status_pomiaru_SUMM,Maksymalna_dobowa_suma_opadow,Status_pomiaru_OPMX,Pierwszy_dzien_wystapienia_opadu_maksymalnego,Ostatni_dzien_wystapienia_opadu_maksymalnego,Maksymalna_wysokosc_pokrywy_sniezne,Status_pomiaru_PKSN,Liczba_dni_z_pokrywa_sniezna,Liczba_dni_z_opadem_deszczu,Liczba_dni_z_opadem_sniegu
"249180010,""PSZCZYNA"",""2014"",""01"",11.0,"""",2.6,"""",-15.4,"""",-2.9,"""",-.3,"""",-16.7,"""",42.7,"""",15.5,"""",""20"","""",2,"""",6,13,5"
"249180010,""PSZCZYNA"",""2014"",""02"",13.4,"""",8.9,"""",-7.5,"""",-1.3,"""",3.1,"""",-9.6,"""",22.1,"""",10.2,"""",""12"","""",2,"""",1,8,1"
"249180010,""PSZCZYNA"",""2014"",""03"",21.4,"""",12.9,"""",-4.8,"""",1.9,"""",6.6,"""",-6.3,"""",42.8,"""",19.8,"""",""15"","""",0,"""",0,8,0"
"249180010,""PSZCZYNA"",""2014"",""04"",22.7,"""",16.4,"""",-2.9,"""",4.6,"""",10.0,"""",-2.9,"""",58.3,"""",10.4,"""",""28"","""",0,"""",0,18,0"
"249180010,""PSZCZYNA"",""2014"",""05"",29.4,"""",19.0,"""",-2.0,"""",7.3,"""",13.3,"""",-3.0,"""",125.2,"""",24.2,"""",""26"","""",0,"""",0,18,0"
"249180010,""PSZCZYNA"",""2014"",""06"",31.4,"""",21.9,"""",5.0,"""",9.0,"""",16.0,"""",3.8,"""",101.2,"""",27.0,"""",""30"","""",0,"""",0,13,0"
"249180010,""PSZCZYNA"",""2014"",""07"",32.1,"""",26.1,"""",7.2,"""",12.9,"""",19.8,"""",6.3,"""",93.5,"""",23.6,"""",""09"","""",0,"""",0,13,0"
"249180010,""PSZCZYNA"",""2014"",""08"",29.9,"""",22.2,"""",5.2,"""",11.4,"""",16.7,"""",4.5,"""",106.4,"""",18.4,"""",""23"","""",0,"""",0,23,0"
"249180010,""PSZCZYNA"",""2014"",""09"",25.9,"""",20.0,"""",1.5,"""",9.4,"""",14.4,"""",.4,"""",100.9,"""",43.7,"""",""12"","""",0,"""",0,13,0"
"249180010,""PSZCZYNA"",""2014"",""10"",23.8,"""",15.2,"""",-3.0,"""",5.5,"""",9.7,"""",-2.7,"""",43.9,"""",20.3,"""",""22"","""",0,"""",0,10,0"
"249180010,""PSZCZYNA"",""2014"",""11"",19.1,"""",9.6,"""",-5.5,"""",2.8,"""",5.9,"""",-4.9,"""",41.7,"""",16.2,"""",""07"","""",0,"""",0,8,0"
"249180010,""PSZCZYNA"",""2014"",""12"",12.3,"""",3.8,"""",-13.0,"""",-2.4,"""",.8,"""",-16.4,"""",29.9,"""",8.1,"""",""16"","""",3,"""",5,10,4"
"249180130,""CIESZYN"",""2014"",""01"",14.4,"""",5.0,"""",-15.3,"""",-1.9,"""",1.2,"""",-16.4,"""",26.5,"""",10.7,"""",""20"","""",3,"""",7,12,6"
"249180130,""CIESZYN"",""2014"",""02"",13.8,"""",9.6,"""",-6.3,"""",.5,"""",4.2,"""",-7.9,"""",25.8,"""",11.6,"""",""12"","""",7,"""",2,7,1"
"249180130,""CIESZYN"",""2014"",""03"",21.6,"""",13.1,"""",-4.7,"""",2.0,"""",6.6,"""",-6.8,"""",46.8,"""",12.9,"""",""18"","""",0,"""",0,8,0"
"249180130,""CIESZYN"",""2014"",""04"",23.0,"""",16.9,"""",-1.0,"""",5.7,"""",10.7,"""",-3.5,"""",43.0,"""",11.5,"""",""25"","""",0,"""",0,15,0"
"249180130,""CIESZYN"",""2014"",""05"",29.0,"""",19.3,"""",-1.4,"""",9.3,"""",13.9,"""",-2.5,"""",185.4,"""",50.4,"""",""15"","""",0,"""",0,17,0"
"249180130,""CIESZYN"",""2014"",""06"",32.6,"""",22.8,"""",5.1,"""",11.2,"""",16.7,"""",3.0,"""",69.0,"""",28.5,"""",""30"","""",0,"""",0,15,0"
"249180130,""CIESZYN"",""2014"",""07"",32.4,"""",26.9,"""",10.5,"""",15.8,"""",20.7,"""",8.5,"""",99.5,"""",40.2,"""",""31"","""",0,"""",0,17,0"
"249180130,""CIESZYN"",""2014"",""08"",30.6,"""",22.8,"""",5.8,"""",14.2,"""",17.6,"""",4.6,"""",142.4,"""",26.6,"""",""04"","""",0,"""",0,22,0"
