Kod_stacji,Nazwa_stacji,Rok,Miesiac,Absolutna_temperatura_maksymalna,Status_pomiaru_TMAX,Srednia_temperatura_maksymalna,Status_pomiaru_TMX,Absolutna_temperatura_minimalna,Status_pomiaru_TMIN,Srednia_temperatura_minimalna,Status_pomiaru_TMNS,Srednia_temperatura_miesieczna,Status_pomiaru_STM,Minimalna_temperatura_przy_gruncie,Status_pomiaru_TMNG,Miesieczna_suma_opadow,Status_pomiaru_SUMM,Maksymalna_dobowa_suma_opadow,Status_pomiaru_OPMX,Pierwszy_dzien_wystapienia_opadu_maksymalnego,Ostatni_dzien_wystapienia_opadu_maksymalnego,Miesieczna_suma_uslonecznienia,Status_pomiaru_SUUS,Maksymalna_wysokosc_pokrywy_snieznej,Status_pomiaru_PKSN,Liczba_dni_z_pokrywa_sniezna,Status_pomiaru_PSDN,Liczba_dni_z_opadem_deszczu,Status_pomiaru_DESD,Liczba_dni_z_opadem_sniegu,Status_pomiaru_SNID,Liczba_dni_z_opadem_deszczu_ze_sniegiem,Status_pomiaru_DSND,Liczba_dni_z_gradem,Status_pomiaru_GRDD,Liczba_dni_z_mgla,Status_pomiaru_MGLD,Liczba_dni_z_zamgleniem,Status_pomiaru_ZAMD,Liczba_dni_z_sadzia,Status_pomiaru_SADD,Liczba_dni_z_gololedzia,Status_pomiaru_GOLD,Liczba_dni_z_zamiecia_sniezna_niska,Status_pomiaru_ZAND,Liczba_dni_z_zamiecia_sniezna_wysoka,Status_pomiaru_ZAWD,Liczba_dni_ze_zmetnieniem,Status_pomiaru_ZMED,Liczba_dni_z_wiatrem_10m_s,Status_pomiaru_W10D,Liczba_dni_z_wiatrem_15m_s,Status_pomiaru_W15D,Liczba_dni_z_burza,Status_pomiaru_BURD,Liczba_dni_z_rosa,Status_pomiaru_ROSD,Liczba_dni_ze_szronem,Status_pomiaru_SZRD
349190600,BIELSKO-BIA�A,2023,01,18.0,,5.3,,-6.2,,1.0,,3.1,,-9.8,,86.8,,14.2,,09,,61.5,,21,,12,,9,,6,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,02,11.1,,4.6,,-14.1,,-1.7,,1.4,,-18.7,,49.9,,13.3,,03,,.0,8,13,,16,,9,,6,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,03,18.6,,10.1,,-9.1,,1.5,,5.6,,-13.9,,38.0,,6.8,,09,,.0,8,5,,4,,11,,6,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,04,20.9,,11.7,,-6.0,,3.1,,7.1,,-7.3,,56.1,,10.7,,02,,146.2,,5,,1,,13,,4,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,05,23.9,,17.3,,.6,,7.3,,12.4,,-1.3,,109.9,,33.1,,16,,214.0,,0,,0,,11,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,06,29.7,,22.7,,5.3,,11.8,,17.3,,3.2,,48.6,,11.8,,21,,265.0,,0,,0,,10,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,07,30.7,,25.0,,8.8,,14.7,,19.8,,6.8,,135.6,,41.6,,13,,274.0,,0,,0,,15,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,08,31.0,,24.3,,7.8,,15.4,,19.5,,6.3,,112.4,,27.8,,06,,196.7,,0,,0,,18,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,09,28.3,,23.2,,9.6,,13.2,,17.8,,8.6,,101.5,,19.4,,19,,234.4,,0,,0,,11,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,10,23.7,,17.4,,-.4,,8.5,,12.9,,-3.7,,100.7,,20.5,,21,,133.2,,0,,0,,16,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,11,16.8,,8.1,,-6.0,,3.0,,5.4,,-15.3,,73.7,,9.6,,15,,.0,8,13,,7,,14,,9,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190600,BIELSKO-BIA�A,2023,12,13.3,,5.6,,-7.1,,.2,,3.1,,-14.7,,74.2,,16.0,,21,,68.0,,37,,13,,10,,9,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,01,16.7,,2.9,,-9.9,,-3.3,,-.4,,-14.8,,110.2,,21.9,,09,,53.1,,60,,22,,3,,16,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,02,9.5,,2.4,,-17.7,,-5.8,,-2.1,,-23.4,,57.3,,11.5,,03,,92.0,,82,,28,,3,,12,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,03,16.3,,7.9,,-11.8,,-2.2,,2.5,,-17.6,,37.1,,11.2,,10,,164.3,,25,,17,,8,,7,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,04,17.5,,8.5,,-7.5,,.4,,4.1,,-8.3,,80.1,,17.9,,17,,101.8,,9,,4,,13,,7,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,05,21.5,,15.7,,-2.6,,4.6,,10.0,,-5.1,,113.7,,26.5,,24,,211.6,,0,,0,,14,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,06,26.3,,19.4,,2.3,,9.2,,14.2,,.2,,147.9,,41.6,,23,,189.1,,0,,0,,13,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,07,29.0,,22.8,,6.5,,11.7,,16.9,,5.3,,172.5,,39.5,,26,,228.4,,0,,0,,17,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,08,29.1,,23.3,,6.6,,12.7,,17.4,,5.0,,188.3,,28.9,,05,,204.7,,0,,0,,17,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,09,25.7,,21.0,,6.0,,9.8,,14.9,,3.3,,129.7,,37.1,,23,,222.8,,0,,0,,11,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,10,23.0,,15.6,,-3.1,,4.7,,9.6,,-7.2,,112.4,,27.5,,27,,139.8,,0,,0,,12,,1,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,11,14.5,,5.6,,-12.3,,-1.4,,2.0,,-17.3,,113.2,,19.9,,11,,58.6,,26,,12,,10,,13,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190625,ZAKOPANE,2023,12,12.1,,3.7,,-13.3,,-3.3,,.1,,-19.9,,34.5,,7.6,,02,,55.1,,30,,26,,3,,14,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349190650,KASPROWY WIERCH,2023,01,8.1,,-2.3,,-14.7,,-7.5,,-4.9,,.0,8,175.4,,36.2,,10,,105.2,,147,,31,,0,,18,,0,,0,,27,,0,,26,,0,,1,,23,,0,,22,,10,,0,,0,,0,
349190650,KASPROWY WIERCH,2023,02,4.2,,-4.5,,-19.0,,-10.3,,-7.5,,.0,8,136.3,,40.6,,04,,109.4,,182,,28,,0,,19,,1,,0,,22,,0,,22,,0,,0,,24,,0,,21,,10,,0,,0,,0,
349190650,KASPROWY WIERCH,2023,03,3.4,,-2.2,,-17.4,,-7.7,,-4.8,,.0,8,114.3,,44.6,,27,,119.9,,190,,31,,0,,22,,4,,0,,24,,0,,22,,2,,0,,19,,0,,21,,8,,0,,0,,0,
349190650,KASPROWY WIERCH,2023,04,4.5,,-1.1,,-15.9,,-5.9,,-3.7,,.0,8,159.8,,23.1,,25,,84.1,,203,,30,,0,,27,,7,,0,,26,,0,,26,,2,,0,,17,,0,,11,,0,,0,,0,,0,
349190650,KASPROWY WIERCH,2023,05,11.3,,5.7,,-5.7,,.6,,3.1,,.0,8,117.7,,23.6,,16,,219.5,,167,,31,,8,,6,,6,,3,,23,,0,,7,,1,,0,,2,,0,,8,,0,,0,,0,,0,
349190650,KASPROWY WIERCH,2023,06,17.9,,10.2,,-3.6,,4.4,,6.9,,.0,8,180.2,,47.8,,10,,123.6,,47,,4,,14,,1,,0,,3,,24,,0,,2,,0,,0,,0,,0,,6,,0,,5,,0,,0,
349190650,KASPROWY WIERCH,2023,07,20.3,,13.6,,.4,,7.1,,9.8,,.0,8,123.8,,28.7,,13,,186.9,,0,,0,,16,,1,,1,,1,,22,,0,,0,,0,,0,,0,,0,,13,,0,,7,,0,,0,
349190650,KASPROWY WIERCH,2023,08,19.8,,14.5,,.6,,8.5,,11.2,,.0,8,241.6,,55.0,,05,,181.1,,0,,0,,16,,1,,0,,2,,21,,0,,0,,0,,0,,0,,0,,15,,1,,10,,0,,0,
349190650,KASPROWY WIERCH,2023,09,17.4,,12.0,,1.8,,6.6,,9.1,,.0,8,142.9,,30.2,,14,,199.3,,0,,0,,12,,0,,0,,1,,18,,0,,0,,0,,0,,0,,0,,15,,3,,1,,0,,0,
349190650,KASPROWY WIERCH,2023,10,12.9,,6.6,,-8.4,,.3,,3.2,,.0,8,155.1,,34.4,,27,,121.6,,4,,8,,10,,7,,4,,0,,29,,0,,9,,1,,0,,3,,0,,25,,11,,0,,0,,0,
349190650,KASPROWY WIERCH,2023,11,4.2,,-2.7,,-15.9,,-7.3,,-5.1,,.0,8,198.8,,38.0,,11,,44.3,,80,,27,,2,,23,,1,,0,,30,,0,,30,,0,,1,,25,,0,,24,,11,,0,,0,,0,
349190650,KASPROWY WIERCH,2023,12,5.8,,-2.1,,-16.0,,-7.5,,-4.9,,.0,8,75.7,,11.6,,02,,51.6,,86,,31,,1,,18,,0,,0,,25,,0,,24,,2,,0,,26,,0,,25,,15,,0,,0,,0,
349200628,HALA G�SIENICOWA,2023,01,13.9,,.9,,-13.2,,-4.9,,-2.3,,-16.8,,137.1,,29.2,,10,,70.0,,87,,31,,1,,19,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,02,7.4,,-1.4,,-18.7,,-8.3,,-4.9,,-22.2,,104.2,,16.1,,03,,83.7,,131,,28,,1,,18,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,03,8.7,,2.3,,-15.0,,-4.9,,-1.3,,-19.7,,101.1,,29.1,,27,,116.8,,117,,31,,2,,19,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,04,9.6,,2.6,,-14.3,,-3.1,,-.5,,-13.9,,155.7,,19.8,,24,,81.4,,106,,30,,4,,19,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,05,16.7,,10.0,,-3.9,,2.5,,6.1,,-6.4,,153.2,,26.5,,14,,186.8,,56,,11,,10,,3,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,06,21.8,,13.5,,-.9,,6.4,,9.8,,-2.5,,217.3,,49.2,,10,,132.8,,0,,0,,16,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,07,23.3,,17.1,,3.0,,9.3,,12.9,,2.2,,148.2,,39.4,,26,,175.2,,0,,0,,21,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,08,23.5,,18.0,,3.3,,10.3,,14.1,,1.5,,268.4,,57.0,,05,,169.8,,0,,0,,17,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,09,20.8,,15.3,,3.7,,8.2,,11.5,,.7,,174.6,,38.0,,14,,178.0,,0,,0,,11,,0,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,10,17.8,,10.7,,-5.9,,3.2,,6.6,,-7.9,,199.5,,49.8,,27,,107.0,,4,,2,,12,,4,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,11,8.6,,1.0,,-12.8,,-4.2,,-1.7,,-16.1,,214.1,,38.2,,11,,29.6,,80,,23,,1,,26,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200628,HALA G�SIENICOWA,2023,12,9.9,,1.4,,-15.6,,-4.7,,-1.4,,-19.5,,83.5,,18.5,,02,,32.5,,80,,31,,1,,20,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200660,NOWY S�CZ,2023,01,14.4,,5.4,,-4.7,,.2,,2.6,,.0,8,78.2,,14.3,,20,,51.3,,0,8,9,,11,,5,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
349200660,NOWY S�CZ,2023,02,11.8,,5.2,,-12.5,,-1.8,,1.4,,-18.0,,40.2,,12.8,,03,,80.5,,0,8,7,,14,,1,,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
