kod_stacji;nazwa_stacji;szerokosc_stopnie;szerokosc_minuty;szerokosc_sekundy;dlugosc_stopnie;dlugosc_minuty;dlugosc_sekundy
295;BIA YSTOK;23;09;44;53;06;26
600;BIELSKO-BIA A;19;00;04;49;48;29
240;BYDGOSZCZ;17;58;0;53;06;0
235;CHOJNICE;17;31;57;53;42;55
550;CZ STOCHOWA;19;05;33;50;48;45
160;ELBL G-MILEJEWO;19;32;37;54;13;23
140;GDA SK-PORT P” NOCNY;18;41;52;54;23;59
150;GDA SK-R BIECHOWO;18;28;0;54;23;0
155;GDA SK-åWIBNO;18;56;04;54;20;01
300;GORZ”W WIELKOPOLSKI;15;16;38;52;44;28
628;HALA G SIENICOWA;20;00;21;49;14;39
135;HEL;18;48;43;54;36;13
500;JELENIA G”RA;15;47;20;50;54;01
435;KALISZ;18;04;55;51;46;55
650;KASPROWY WIERCH;19;58;55;49;13;57
560;KATOWICE-MUCHOWIEC;19;01;58;50;14;26
185;K TRZYN;21;22;10;54;04;06
570;KIELCE-SUK”W;20;41;32;50;48;37
520;K ODZKO;16;36;51;50;26;13
345;KO O;18;39;41;52;12;01
100;KO OBRZEG-DèWIRZYNO;15;23;20;54;09;30
105;KOSZALIN;16;09;20;54;12;16
488;KOZIENICE;21;32;34;51;33;53
566;KRAK”W-BALICE;19;48;07;50;04;49
670;KROSNO;21;46;09;49;42;25
415;LEGNICA;16;12;27;51;11;33
690;LESKO;22;20;30;49;27;59
418;LESZNO;16;32;05;51;50;09
125;L BORK;17;43;25;54;33;11
495;LUBLIN-RADAWIEC;22;23;37;51;13;01
120;EBA;17;32;05;54;45;13
465;”Dè-LUBLINEK;19;23;59;51;43;24
280;MIKO AJKI;21;35;19;53;47;22
270;M AWA;20;21;40;53;06;15
660;NOWY S CZ;20;41;21;49;37;38
272;OLSZTYN;20;25;22;53;46;16
530;OPOLE;17;58;08;50;37;37
285;OSTRO KA;21;32;02;53;03;57
230;PI A;16;44;54;53;07;52
360;P OCK;19;43;33;52;35;18
330;POZNA - AWICA;16;50;09;52;25;02
695;PRZEMYåL;22;46;19;49;48;15
540;RACIB”RZ;18;11;30;50;03;42
210;RESKO-SM”LSKO;15;24;53;53;46;18
580;RZESZ”W-JASIONKA;22;02;32;50;06;39
585;SANDOMIERZ;21;42;57;50;41;48
385;SIEDLCE;22;14;41;52;10;52
310;S UBICE;14;37;10;52;20;56
469;SULEJ”W;19;51;52;51;21;10
195;SUWA KI;22;56;56;54;07;51
205;SZCZECIN;14;37;22;53;23;43
215;SZCZECINEK;16;44;48;53;42;53
510;åNIE KA;15;44;22;50;44;10
200;åWINOUJåCIE;14;14;32;53;55;24
575;TARN”W;20;59;04;50;01;48
399;TERESPOL;23;37;17;52;04;42
250;TORU;18;35;43;53;02;31
115;USTKA;16;51;15;54;35;18
375;WARSZAWA-OK CIE;20;57;40;52;09;46
455;WIELU;18;33;28;51;12;40
497;W ODAWA;23;31;46;51;33;12
424;WROC AW-STRACHOWICE;16;54;00;51;06;12
625;ZAKOPANE;19;57;37;49;17;38
595;ZAMOå;23;12;23;50;41;52
405;ZGORZELEC;15;02;0;51;08;0
400;ZIELONA G”RA;15;31;28;51;55;49
131;ARNOWIEC;18;05;0;54;43;0
