kod_stacji;nazwa_stacji;szerokosc_stopnie;szerokosc_minuty;szerokosc_sekundy;dlugosc_stopnie;dlugosc_minuty;dlugosc_sekundy;
3150;BABIMOST;15;47;0;52;08;0;
3152;BABIMOST;15;47;46;52;08;0;
6808;BALIGR”D-MCHAWA;22;17;0;49;21;0;
6708;BARWINEK;21;41;0;49;26;0;
4505;BE CHAT”W;19;22;0;51;24;0;
4902;BEZEK;23;16;0;51;11;0;
3903;BIA A PODLASKA;23;05;0;52;02;0;
1101;BIA OGARD;15;59;0;54;00;0;
3902;BIA OWIE A;23;51;0;52;42;0;
295;BIA YSTOK;23;09;44;53;06;0;
2802;BIEBRZA-PIE CZYK”WEK;22;36;0;53;39;0;
6702;BIECZ-GRUDNA;21;15;0;49;44;0;
3901;BIELSK PODLASKI;23;10;0;52;46;0;
600;BIELSKO-BIA A;19;0;04;49;48;0;
5508;BIERU STARY;19;06;0;50;05;0;
6803;BIRCZA;22;29;0;49;41;0;
2601;BISKUPIEC;20;59;0;53;51;0;
3301;BOBROWNIKI;17;08;0;52;49;0;
6601;BOCHNIA;20;24;0;49;59;0;
5601;BODZENTYN;20;57;0;50;57;0;
5001;BOGATYNIA;14;59;0;50;54;0;
5702;BOGUS AWICE;21;25;0;50;51;0;
5252;BOLES AW”W;16;53;0;50;15;0;
1351;BORUCINO;17;59;28;54;15;0;
5606;BORUSOWA;20;48;0;50;17;0;
6451;BRENNA;18;52;18;49;45;0;
3608;BRWIN”W;20;43;0;52;08;0;
6806;BRZEGI DOLNE;22;37;0;49;27;0;
6626;BUKOWINA TATRZA SKA;20;07;0;49;21;0;
240;BYDGOSZCZ;17;58;0;53;06;0;
2450;BYDGOSZCZ;18;03;0;53;10;0;
2351;BYDGOSZCZ-SZWEDEROWO;17;59;52;53;05;0;
4201;CEBER;15;99;0;51;43;0;
5707;CHMIEL”W;21;39;0;50;31;0;
235;CHOJNICE;17;31;57;53;42;0;
5708;CHORZEL”W;21;27;0;50;21;0;
2303;CHRZ STOWO;17;35;0;53;11;0;
4250;CHWA KOWICE;16;36;50;51;26;0;
3950;CICIB”R;23;07;0;52;05;0;
3401;CIECHOCINEK;18;48;0;52;53;0;
5951;CIESZAN”W;23;07;05;50;14;01;
6403;CIESZYN;18;38;0;49;45;0;
1304;CZARNA D BR”WKA;17;34;0;54;21;0;
5406;CZEKAN”W;18;44;0;50;21;0;
4804;CZES AWICE;22;16;0;51;19;0;
550;CZ STOCHOWA;19;05;33;50;48;45;
6622;CZORSZTYN-NADZAMCZE;20;20;0;49;26;0;
1201;DAR OWO;16;23;0;54;27;0;
6635;D BNO;20;13;0;49;28;0;
5211;D UGOPOLE-ZDR”J;16;38;0;50;15;0;
6651;DOBCZYCE;20;04;0;49;53;0;
2502;DOBROCIN;19;50;0;53;55;0;
5302;DOBROGOSZCZ;17;01;0;50;46;0;
6633;DOLINA PI CIU STAW”W;20;03;0;49;13;0;
5454;DRONIOWICE;18;48;32;50;41;46;
6705;DUKLA;21;41;0;49;34;0;
5206;DUSZNIKI-ZDR”J;16;24;0;50;24;0;
6802;DYN”W;22;14;0;49;50;0;
1001;DZIWN”W;14;44;0;54;01;0;
160;ELBL G-MILEJEWO;19;32;37;54;13;23;
4806;FELIN;22;38;0;51;14;0;
1505;FROMBORK;19;41;0;54;22;0;
150;GDA SK-R BIECHOWO;18;28;0;54;23;0;
1407;GDA SK-R BIECHOWO;18;28;0;54;23;0;
1404;GDA SK-åWIBNO;18;56;0;54;20;0;
1402;GDYNIA;18;34;0;54;31;0;
1702;GI YCKO;21;48;0;54;02;0;
3404;G BOKIE;18;27;0;52;39;0;
3501;G ODOWO;19;14;0;52;50;0;
5309;G UBCZYCE;17;48;0;50;11;0;
5308;G UCHO AZY;17;23;0;50;18;0;
3303;GNIEZNO;17;34;0;52;33;0;
2004;GOLENI”W;14;53;35;53;35;35;
1801;GO DAP;22;19;0;54;19;0;
300;GORZ”W WIELKOPOLSKI;15;16;38;52;44;28;
3101;GORZY;15;54;0;52;34;0;
4101;GRABIK;15;07;0;51;39;0;
4707;GRABOWIEC;21;23;0;51;06;0;
4303;GRABOWNICA;17;27;0;51;28;0;
6804;GRABOWNICA;22;05;0;49;40;0;
5303;GRODK”W;17;24;0;50;41;0;
2403;GRUDZI DZ;18;43;0;53;26;0;
6521;GUBA ”WKA;19;56;0;49;18;0;
6632;HALA G SIENICOWA;20;0;21;49;14;0;
6526;HALA ORNAK;19;52;0;49;14;0;
135;HEL;18;48;43;54;36;0;
1405;HOPOWO;18;15;0;54;15;0;
5608;IGO OMIA;20;16;0;50;06;0;
6503;INWA D;19;26;0;49;53;0;
6408;ISTEBNA-KUBALONKA;18;54;0;49;36;0;
6706;IWONICZ-ZDR”J;21;47;0;49;34;0;
6518;JAB ONKA;19;42;0;49;28;0;
5150;JAKUSZYCE;15;27;0;50;49;0;
