Kod_stacji, Nazwa_stacji, Rok, Miesiac, Absolutna_temperatura_maksymalna, Status_pomiaru_TMAX, Srednia_temperatura_maksymalna, Status_pomiaru_TMX, Absolutna_temperatura_minimalna, Status_pomiaru_TMIN, Srednia_temperatura_minimalna, Status_pomiaru_TMNS, Srednia_temperatura_miesieczna, Status_pomiaru_STM, Minimalna_temperatura_przy_gruncie, Status_pomiaru_TMNG, Miesieczna_suma_opadow, Status_pomiaru_SUMM, Maksymalna_dobowa_suma_opadow, Status_pomiaru_OPMX, Pierwszy_dzien_wystapienia_opadu_maksymalnego, Ostatni_dzien_wystapienia_opadu_maksymalnego, Miesieczna_suma_uslonecznienia, Status_pomiaru_SUUS, Maksymalna_wysokosc_pokrywy_snieznej, Status_pomiaru_PKSN, Liczba_dni_z_pokrywa_sniezna, Status_pomiaru_PSDN, Liczba_dni_z_opadem_deszczu, Status_pomiaru_DESD, Liczba_dni_z_opadem_sniegu, Status_pomiaru_SNID, Liczba_dni_z_opadem_deszczu_ze_sniegiem, Status_pomiaru_DSND, Liczba_dni_z_gradem, Status_pomiaru_GRDD, Liczba_dni_z_mgla, Status_pomiaru_MGLD, Liczba_dni_z_zamgleniem, Status_pomiaru_ZAMD, Liczba_dni_z_sadzia, Status_pomiaru_SADD, Liczba_dni_z_gololedzia, Status_pomiaru_GOLD, Liczba_dni_z_zamiecia_sniezna_niska, Status_pomiaru_ZAND, Liczba_dni_z_zamiecia_sniezna_wysoka, Status_pomiaru_ZAWD, Liczba_dni_ze_zmetnieniem, Status_pomiaru_ZMED, Liczba_dni_z_wiatrem_10m_s, Status_pomiaru_W10D, Liczba_dni_z_wiatrem_15m_s, Status_pomiaru_W15D, Liczba_dni_z_burza, Status_pomiaru_BURD, Liczba_dni_z_rosa, Status_pomiaru_ROSD, Liczba_dni_ze_szronem, Status_pomiaru_SZRD
349190600,BIELSKO-BIA�A,2014,01,13.5,,4.7,,-14.4,,-2.0,,1.0,,-17.4,,29.8,,13.4,,20,,.0,8,4,,9,,9,,7,,1,,0,,10,,26,,0,,1,,0,,0,,0,,7,,0,,0,,6,,4,
349190600,BIELSKO-BIA�A,2014,02,12.9,,9.2,,-5.8,,1.1,,4.8,,-8.1,,26.2,,15.3,,12,,.0,8,11,,1,,4,,3,,2,,0,,2,,23,,0,,0,,0,,0,,6,,6,,0,,0,,8,,13,
349190600,BIELSKO-BIA�A,2014,03,20.2,,12.1,,-2.0,,2.3,,6.8,,-6.9,,50.8,,14.7,,16,,.0,8,0,,0,,7,,2,,3,,0,,2,,27,,0,,0,,0,,0,,11,,7,,0,,0,,18,,14,
349190600,BIELSKO-BIA�A,2014,04,21.8,,15.5,,-.1,,5.6,,10.2,,-3.3,,47.3,,9.6,,15,,.0,8,0,,0,,18,,1,,1,,0,,4,,26,,0,,0,,0,,0,,4,,3,,0,,6,,24,,3,
349190600,BIELSKO-BIA�A,2014,05,28.9,,18.1,,.6,,8.9,,13.1,,-1.2,,242.2,,63.3,,15,,.0,8,0,,0,,19,,0,,0,,0,,3,,19,,0,,0,,0,,0,,0,,1,,0,,6,,11,,1,
349190600,BIELSKO-BIA�A,2014,06,31.3,,21.4,,6.1,,11.0,,15.9,,4.6,,113.9,,48.0,,30,,.0,8,0,,0,,13,,0,,0,,0,,0,,13,,0,,0,,0,,0,,0,,0,,0,,3,,22,,0,
349190600,BIELSKO-BIA�A,2014,07,31.2,,25.4,,9.5,,14.9,,19.6,,7.8,,155.3,,35.1,,29,,.0,8,0,,0,,17,,0,,0,,0,,2,,18,,0,,0,,0,,0,,0,,0,,0,,13,,24,,0,
349190600,BIELSKO-BIA�A,2014,08,29.6,,22.2,,7.2,,13.1,,16.9,,5.2,,121.0,,20.9,,23,,.0,8,0,,0,,21,,0,,0,,0,,2,,17,,0,,0,,0,,0,,0,,0,,0,,6,,17,,0,
349190600,BIELSKO-BIA�A,2014,09,25.3,,19.3,,1.9,,11.0,,14.6,,.5,,133.0,,35.1,,21,,.0,8,0,,0,,16,,0,,0,,0,,5,,27,,0,,0,,0,,0,,1,,0,,0,,6,,20,,0,
349190600,BIELSKO-BIA�A,2014,10,24.2,,15.1,,-2.0,,7.1,,10.7,,-4.9,,73.1,,23.5,,22,,.0,8,0,,0,,10,,0,,0,,0,,8,,27,,0,,0,,0,,0,,3,,3,,0,,0,,22,,6,
349190600,BIELSKO-BIA�A,2014,11,19.0,,10.1,,-5.5,,4.1,,6.9,,-6.4,,42.0,,12.2,,19,,.0,8,0,,0,,11,,1,,1,,0,,11,,24,,1,,0,,0,,0,,0,,4,,0,,0,,13,,6,
