station_name,srednia_wysokosc,min_wysokosc,max_wysokosc,procent_plaski
BIALYSTOK,147.6122,127.86,166.89,98.9028
BIELSKO-BIALA,371.15842,307.3447,523.454,88.08080000000001
BYDGOSZCZ,70.682144,32.51,84.89,98.4796
CHOJNICE,159.157,120.29,201.33,92.7516
CZESTOCHOWA,262.69778,243.54616,299.6765,98.0228
ELBLAG-MILEJEWO,170.43456,128.23,196.53,92.2968
GDANSK-PORT POLNOCNY,0.7794835,-4.76,21.18,98.4784
GDANSK-REBIECHOWO,136.70152,95.25,156.23,94.536
GDANSK-SWIBNO,2.0378463,-1.02,34.48,94.88680000000001
GORZOW WIELKOPOLSKI,51.617504,17.34,93.74,89.80120000000001
HALA GASIENICOWA,1552.361,1034.32,2237.2,6.7532
HEL,0.7403825,-0.37,15.77,96.9036
JELENIA GORA,364.12558,330.01,459.91,75.6608
KALISZ,125.55772,95.65,149.25,97.8604
KASPROWY WIERCH,1408.8555,0.0,2297.82,17.48
KATOWICE-MUCHOWIEC,280.84448,251.62706,320.73813,93.23
KETRZYN,97.586784,65.3,127.68,92.27720000000001
KIELCE-SUKOW,258.05933,0.0,334.29,95.10119999999999
KLODZKO,334.2235,0.0,381.02,89.7572
KOLO,106.17869,90.09,125.73,99.2876
KOLOBRZEG-DZWIRZYNO,0.3906604,-1.25,15.85,98.8656
KOSZALIN,29.049988,0.0,52.77,96.13159999999999
KOZIENICE,123.58958,106.74,157.64,98.508
KRAKOW-BALICE,245.11893,211.71,342.88,79.3288
KROSNO,276.03238,252.48,397.18,88.6712
LEBA,0.8429629,-0.45,16.86,97.9496
LEBORK,28.721004,12.11,114.0,90.2908
LEGNICA,120.73209,103.33,133.81,98.4772
LESKO,381.35382,0.0,574.5,41.6004
LESZNO,91.646996,0.0,103.11,99.8656
LODZ-LUBLINEK,180.2916,165.55,199.43,98.452
LUBLIN-RADAWIEC,233.90834,209.61,253.53,98.5192
MIKOLAJKI,122.43421,0.0,149.08,93.9136
MLAWA,143.54662,126.9,171.27,98.04079999999999
NOWY SACZ,296.64365,0.0,425.79,82.3016
OLSZTYN,118.38107,100.18,144.34,84.7904
OPOLE,159.29318,142.67535,176.88597,96.8584
OSTROLEKA,95.044914,90.400955,108.95261,98.6552
PILA,63.729527,52.24,84.85,96.67
PLOCK,108.39357,75.94,125.17,97.7084
POZNAN-LAWICA,87.29957,0.0,107.78361,97.918
PRZEMYSL,240.07826,0.0,343.04,73.7464
RACIBORZ,203.39346,0.0,229.10576,97.7872
RESKO-SMOLDZINO,52.40374,34.4,74.4,96.8716
RZESZOW-JASIONKA,201.26102,187.16,216.7,98.19839999999999
SANDOMIERZ,199.03094,140.49773,225.28,84.536
SIEDLCE,147.92453,0.0,165.95,99.238
SLUBICE,39.65117,17.34,72.39,91.93679999999999
SNIEZKA,796.59705,0.0,1603.07,41.361599999999996
SULEJOW,183.67944,0.0,201.08,96.4308
SUWALKI,178.84837,142.97,203.01,81.3672
SWINOUJSCIE,1.8400384,-0.9,57.39,96.502
SZCZECIN,2.946135,-2.2759354,71.03539,96.2672
SZCZECINEK,145.29861,132.74,175.89,94.5188
TARNOW,214.2865,190.54,259.95,96.7088
TERESPOL,37.450726,0.0,142.38,98.8904
TORU,67.94753,0.0,83.18,98.5728
USTKA,3.9336705,-1.17,30.98,96.75439999999999
WARSZAWA-OKECIE,106.3292,0.0,119.95,98.6384
WIELU,190.9948,171.19,220.69,99.4764
WLODAWA,150.11938,0.0,182.49,98.9436
WROCLAW-STRACHOWICE,121.340576,0.0,133.0763,98.5668
ZAKOPANE,909.7968,764.02,1259.24,48.4024
ZAMOSC,220.75238,203.84,261.04,99.6996
ZARNOWIEC,48.510952,1.15,128.16,69.536
ZGORZELEC,206.2117,180.45,241.17,95.23479999999999
ZIELONA GORA,147.6968,0.0,203.36,89.4572
